Line output v1.0 
Length: 21 
0.12
-165.4385419832905 -0.0 0
-167.77260823843864 0.8856300490125854 0.0
-170.69314780095934 1.6780358823396353 0.0
-173.8154849163835 2.37721749998115 0.0
-177.01219238176148 2.9831749019371294 0.0
-179.98437088928665 3.4959080882075737 0.0
-182.4546256602342 3.9154170587924826 0.0
-184.28266565813982 4.241701813691856 0.0
-185.5039075565019 4.474762352905694 0.0
-186.1706357958503 4.614598676433998 0.0
-186.32148760468553 4.661210784276765 0.0
-186.1706357958514 4.614598676433998 0.0
-185.5039075565038 4.474762352905694 0.0
-184.2826656581423 4.241701813691856 0.0
-182.45462566023718 3.9154170587924826 0.0
-179.98437088928998 3.4959080882075737 0.0
-177.01219238176506 2.9831749019371294 0.0
-173.815484916387 2.37721749998115 0.0
-170.69314780096283 1.6780358823396353 0.0
-167.77260823844225 0.8856300490125854 0.0
-165.43854198329424 0.0 0
0.23
-256.2370783207535 -0.0 0
-258.1194023602273 0.7422666429715223 0.0
-261.09713459723935 1.406399955103937 0.0
-264.6987872547977 1.9923999363972442 0.0
-268.4124316553471 2.5002665868514438 0.0
-271.8104942725893 2.929999906466535 0.0
-274.6624559733751 3.2815998952425196 0.0
-276.8781664062379 3.5550665531793966 0.0
-278.4218538881664 3.750399880277165 0.0
-279.32436171890936 3.867599876535827 0.0
-279.54552481509955 3.9066665419553805 0.0
-279.32436171890987 3.867599876535827 0.0
-278.42185388816745 3.750399880277165 0.0
-276.8781664062395 3.5550665531793966 0.0
-274.6624559733771 3.2815998952425196 0.0
-271.81049427259177 2.929999906466535 0.0
-268.41243165534996 2.5002665868514438 0.0
-264.6987872548006 1.9923999363972442 0.0
-261.0971345972422 1.406399955103937 0.0
-258.11940236023014 0.7422666429715223 0.0
-256.2370783207563 0.0 0
0.34
-226.13826386338445 -0.0 0
-227.45447446920159 0.5852411361924883 0.0
-229.77713114231747 1.1088779422594512 0.0
-232.70781578187092 1.5709104182008895 0.0
-235.72599001713004 1.9713385640168026 0.0
-238.4792745378238 2.31016237970719 0.0
-240.80317436440316 2.5873818652720533 0.0
-242.632004640912 2.8029970207113912 0.0
-243.92987490753075 2.9570078460252036 0.0
-244.68422923855974 3.0494143412134913 0.0
-244.8803879437319 3.080216506276254 0.0
-244.6842292385599 3.0494143412134913 0.0
-243.9298749075314 2.9570078460252036 0.0
-242.63200464091315 2.8029970207113912 0.0
-240.80317436440495 2.5873818652720533 0.0
-238.4792745378263 2.31016237970719 0.0
-235.72599001713326 1.9713385640168026 0.0
-232.7078157818748 1.5709104182008895 0.0
-229.77713114232193 1.1088779422594512 0.0
-227.45447446920653 0.5852411361924883 0.0
-226.13826386338968 0.0 0
0.45
-92.86999535793346 -0.0 0
-93.32197141021581 0.48662407737990104 0.0
-94.1827121459927 0.9220245676671808 0.0
-95.34987198081986 1.3062014708618397 0.0
-96.50640545942377 1.6391547869638772 0.0
-97.49009358656612 1.9208845159732935 0.0
-98.26758052402131 2.1513906578900888 0.0
-98.8473944960233 2.3306732127142626 0.0
-99.23714848495345 2.4587321804458155 0.0
-99.43931784214327 2.5355675610847475 0.0
-99.47638568454947 2.561179354631058 0.0
-99.43931784214188 2.5355675610847475 0.0
-99.23714848495092 2.4587321804458155 0.0
-98.84739449601958 2.3306732127142626 0.0
-98.26758052401668 2.1513906578900888 0.0
-97.49009358656059 1.9208845159732935 0.0
-96.50640545941751 1.6391547869638772 0.0
-95.34987198081286 1.3062014708618397 0.0
-94.18271214598518 0.9220245676671808 0.0
-93.32197141020801 0.48662407737990104 0.0
-92.86999535792553 0.0 0
0.56
84.17479731816088 -0.0 0
84.59241409853502 0.49167808460154033 0.0
85.42801373302348 0.9316005813502869 0.0
86.40617807202501 1.3197674902462397 0.0
87.54485125956899 1.656178811289399 0.0
88.76486203282973 1.9408345444797646 0.0
89.93721251453768 2.173734689817336 0.0
90.9509768523412 2.3548792473021143 0.0
91.73210288486347 2.4842682169340984 0.0
92.23821472992674 2.561901598713289 0.0
92.40847312160906 2.587779392639686 0.0
92.23821472992698 2.561901598713289 0.0
91.73210288486389 2.4842682169340984 0.0
90.9509768523418 2.3548792473021143 0.0
89.93721251453836 2.173734689817336 0.0
88.7648620328306 1.9408345444797646 0.0
87.54485125956998 1.656178811289399 0.0
86.40617807202608 1.3197674902462397 0.0
85.42801373302456 0.9316005813502869 0.0
84.59241409853614 0.49167808460154033 0.0
84.17479731816202 0.0 0
0.67
223.8791483477199 -0.0 0
224.79100297311098 0.5980835024008426 0.0
226.82392367934992 1.133210846654228 0.0
229.41635235150179 1.6053820327601565 0.0
232.30801747080127 2.0145970607186277 0.0
235.21363779434859 2.3608559305296417 0.0
237.87609405973683 2.6441586421931986 0.0
240.10554903665894 2.864505195709299 0.0
241.77602647360254 3.0218955910779415 0.0
242.81021406467733 3.116329828299127 0.0
243.13048136188257 3.1478079073728558 0.0
242.81021406467872 3.116329828299127 0.0
241.7760264736052 3.0218955910779415 0.0
240.10554903666275 2.864505195709299 0.0
237.8760940597418 2.6441586421931986 0.0
235.21363779435444 2.3608559305296417 0.0
232.30801747080784 2.0145970607186277 0.0
229.4163523515087 1.6053820327601565 0.0
226.82392367935708 1.133210846654228 0.0
224.79100297311837 0.5980835024008426 0.0
223.87914834772747 0.0 0
0.78
259.7713637531077 -0.0 0
260.5885743479249 0.7570030622141095 0.0
262.7420249038485 1.4343215915635759 0.0
265.62440646172587 2.0319555880483993 0.0
268.86082917129545 2.5499050516685795 0.0
272.09875725341595 2.9881699824241164 0.0
275.0538422238461 3.3467503803150103 0.0
277.5230984805441 3.6256462453412612 0.0
279.3677834640665 3.824857577502869 0.0
280.4911861134822 3.9443843767998334 0.0
280.83640799053205 3.984226643232155 0.0
280.49118611348075 3.9443843767998334 0.0
279.36778346406373 3.824857577502869 0.0
277.5230984805399 3.6256462453412612 0.0
275.05384222384043 3.3467503803150103 0.0
272.09875725340896 2.9881699824241164 0.0
268.8608291712873 2.5499050516685795 0.0
265.6244064617169 2.0319555880483993 0.0
262.74202490383874 1.4343215915635759 0.0
260.58857434791463 0.7570030622141095 0.0
259.7713637530972 0.0 0
0.89
174.8265487701131 -0.0 0
